place,mag,time,felt
"72km E of Hengchun, Taiwan",4.3,1418029762350,0.64
"38km SSW of Hualian, Taiwan",4.3,1414820688570,0.57
"7km S of Lugu, Taiwan",4.1,1414025621300,0.59
"28km S of Kaohsiung, Taiwan",4.6,1413129180800,1.03
"35km S of Hualian, Taiwan",4,1412803434300,0.84
"40km S of Hualian, Taiwan",4.7,1412705289430,0.83
"73km SSE of Hualian, Taiwan",4.3,1412430167360,1.29
"12km WSW of Hualian, Taiwan",4,1411731875700,1.14
"6km WSW of Su'ao, Taiwan",4.1,1411681789300,0.83
"23km E of Taitung City, Taiwan",5,1411641302520,1.05
"29km SSW of Su'ao, Taiwan",4.1,1411520475000,0.86
"43km S of Hualian, Taiwan",4.3,1411247644500,1.14
"40km NE of Buli, Taiwan",4.3,1410954116820,1.06
"22km S of Su'ao, Taiwan",4.1,1410482126300,1.04
"45km SSE of Su'ao, Taiwan",4.3,1407418904950,1.01
"66km SSE of Taitung City, Taiwan",4.7,1407296767500,0.37
"29km S of Hualian, Taiwan",4.3,1406997680010,1.2
"29km SW of Yilan, Taiwan",4.1,1406867887840,1.34
"46km SE of Taitung City, Taiwan",4.1,1406722166390,0.67
"22km SE of Su'ao, Taiwan",4.3,1406453018120,0.71
"34km SSW of Su'ao, Taiwan",4.1,1405755466740,0.57
"76km SSE of Taitung City, Taiwan",5.1,1405577510770,0.83
"13km ESE of Buli, Taiwan",4.2,1405301983510,0.92
"79km SSE of Hualian, Taiwan",4.4,1404925815200,0.75
"74km NE of Taitung City, Taiwan",4.2,1404108776700,1.01
"31km NNE of Hualian, Taiwan",4,1403764939620,0.26
"28km SW of Hualian, Taiwan",4.1,1403440065370,0.81
"62km S of Hualian, Taiwan",4,1403317269230,0.71
"20km SE of Su'ao, Taiwan",4.2,1403034552470,0.78
"89km E of Hengchun, Taiwan",4.1,1402798200610,0.98
"33km S of Hualian, Taiwan",4.5,1402784562700,0.77
"7km ESE of Hualian, Taiwan",4.3,1402745207860,1.05
"48km WNW of Hengchun, Taiwan",4.4,1402474843610,1.26
"46km E of Hengchun, Taiwan",4.3,1402313584570,0.84
"19km ESE of Hengchun, Taiwan",4.1,1401724806820,0.8
"26km S of Daxi, Taiwan",4.1,1401504714600,1.04
"34km ENE of Taitung City, Taiwan",4.2,1401484745700,0.89
